Geo ID,City,Population 2017
12420,Austin-Round Rock,2115827
39580,Raleigh,1335079
36740,Orlando-Kissimmee-Sanford,2509831
26420,Houston-The Woodlands-Sugar Land,6892427
41700,San Antonio-New Braunfels,2473974
19100,Dallas-Fort Worth-Arlington,7399662
16740,Charlotte-Concord-Gastonia,2525305
34980,Nashville-Davidson--Murfreesboro--Franklin,1903045
19740,Denver-Aurora-Lakewood,2888227
29820,Las Vegas-Henderson-Paradise,2204079
41980,San Juan-Carolina-Caguas,2112005
38300,Pittsburgh,2333367
17460,Cleveland-Elyria,2058844
25540,Hartford-West Hartford-East Hartford,1210259
40380,Rochester,1077948
15380,Buffalo-Cheektowaga-Niagara Falls,1136856
19820,Detroit-Warren-Dearborn,4313002
41180,St. Louis,2807338
16980,Chicago-Naperville-Elgin,9533040
39300,Providence-Warwick,1621122
